,german,french,Distances
1794,pflicht,devoir,0.0
1795,wache,gardien,0.0
1796,neulich,récemment,0.14285714285714285
1797,beeilen,dépêche toi,0.0
1798,knie,genou,0.5
1799,alice,alice,1.0
1800,lauter,monter le son,0.2222222222222222
1801,spannende,passionnant,0.5714285714285714
1802,unschuldig,innocent,0.2857142857142857
1803,folgt,suit,0.25
1804,schutz,protection,0.16666666666666666
1805,weshalb,pourquoi,0.0
1806,geheiratet,s'être marié,0.1111111111111111
1807,woanders,ailleurs,0.4
1808,wurdest,est devenu,0.16666666666666666
1809,kuss,embrasser,0.3333333333333333
1810,verhindern,entraver,0.14285714285714285
1811,erklärung,explication,0.2857142857142857
1812,video,vidéo,0.6666666666666666
1813,rom,rome,1.0
1814,klug,intelligent,0.2857142857142857
1815,kräfte,les forces,0.14285714285714285
1816,verlangen,demander,0.16666666666666666
1817,außerhalb,en dehors de,0.125
1818,opa,grand-père,0.125
1819,selbstverständlich,bien sûr,0.13333333333333333
1820,aufstehen,se lever,0.0
1821,hassen,détester,0.16666666666666666
1822,pete,peter,0.6666666666666666
1823,gebrauchen,utilisation,0.16666666666666666
1824,geglaubt,a cru,0.0
1825,milch,le lait,0.0
1826,trink,boisson,0.0
1827,gefeuert,licencié,0.0
1828,erinnerungen,souvenirs,0.2857142857142857
1829,müssten,devrait,0.16666666666666666
1830,suchst,sont en train de chercher,0.16666666666666666
1831,fährst,conduire,0.16666666666666666
1832,kochen,cuisiner,0.25
1833,schwach,faible,0.0
1834,schreibt,écrit,0.5
1835,schulden,dettes,0.0
1836,hinein,dans,0.3333333333333333
1837,simon,simon,1.0
1838,grenze,frontière,0.3333333333333333
1839,braut,la mariée,0.2
1840,gebraucht,d'occasion,0.16666666666666666
1841,peinlich,gênant,0.0
1842,klappt,œuvres,0.0
1843,geheimnisse,secrets,0.16666666666666666
1844,joey,joey,1.0
1845,aufmerksamkeit,attention,0.0
1846,form,forme,1.0
1847,umsonst,gratuitement,0.14285714285714285
1848,kennenzulernen,faire connaissance,0.2
1849,überlebt,survécu,0.16666666666666666
1850,nirgendwo,nulle part,0.14285714285714285
1851,meilen,milles,0.5
1852,einfacher,plus facile,0.14285714285714285
1853,blöde,stupide,0.25
1854,mond,lune,0.3333333333333333
1855,ergibt,résultats,0.2857142857142857
1856,daten,données,0.4
1857,merken,remarquer,0.4
1858,schande,la honte,0.4
1859,fuck,merde,0.0
1860,fühlte,feutre,0.2
1861,jenny,jenny,1.0
1862,sieg,la victoire,0.0
1863,satt,en avoir marre,0.0
1864,blödsinn,absurdité,0.2857142857142857
1865,adam,adam,1.0
1866,lisa,lisa,1.0
1867,pfund,kg,0.0
1868,handeln,loi,0.2
1869,lois,lois,1.0
1870,enden,finir,0.0
1871,warm,chaleureuse,0.2
1872,raten,deviner,0.25
1873,übersetzung,traduction,0.25
1874,kunst,art,0.25
1875,kapitän,capitaine,0.6
1876,desto,la,0.0
1877,einsatz,mission,0.25
1878,schweigen,garder le silence,0.09090909090909091
1879,krankheit,maladie,0.0
1880,toller,génial,0.0
1881,schatten,l'ombre,0.0
1882,wachen,réveillez-vous,0.0
1883,tatsache,fait,0.2
1884,eric,éric,0.6666666666666666
1885,stock,sol,0.25
1886,chief,chef,1.0
1887,hingehen,va là-bas,0.0
1888,verboten,interdit,0.2
1889,gäbe,existerait,0.0
1890,anzug,costume d'homme,0.0
1891,leichen,cadavres,0.0
1892,high,haute,0.3333333333333333
1893,beendet,complété,0.14285714285714285
1894,freitag,vendredi,0.0
1895,million,million,1.0
1896,verflucht,maudit,0.14285714285714285
1897,dunkel,foncé,0.25
1898,geb,née,0.0
1899,enttäuscht,désappointé,0.0
1900,klopfen,battre,0.0
1901,spuren,sens,0.25
1902,dreck,saleté,0.0
1903,seiten,pages,0.0
1904,mühe,effort,0.0
1905,gezogen,dessiné,0.2
1906,brian,brian,1.0
1907,kontrollieren,chèque,0.0
1908,knochen,os,0.0
1909,schick,élégant,0.0
1910,getrennt,couper,0.16666666666666666
1911,programm,programme,1.0
1912,grab,creuser,0.25
1913,ebenso,aussi bien,0.2
1914,trage,paresseux,0.2
1915,nachbarn,voisins,0.0
1916,bieten,offrir,0.0
1917,bestes,meilleur,0.0
1918,elizabeth,elisabeth,0.8
1919,fuhr,a conduit,0.0
1920,verlässt,feuilles,0.2857142857142857
1921,freundlich,amical,0.14285714285714285
1922,dennoch,néanmoins,0.16666666666666666
1923,rauchen,fumeur,0.0
1924,dick,épais,0.0
1925,stuhl,chaise,0.25
1926,dreh,tour,0.3333333333333333
1927,bester,meilleur,0.25
1928,schicke,envoyer,0.0
1929,vergeben,pardonner,0.3333333333333333
1930,ausgehen,sortir,0.25
1931,behandeln,traiter,0.0
1932,trotz,malgré,0.0
1933,gast,invité,0.25
1934,ändert,changements,0.25
1935,passierte,passé,0.6
1936,toilette,toilette,1.0
1937,annehmen,j'accepte,0.0
1938,herzlichen,cordial,0.2857142857142857
1939,hexe,sorcière,0.0
1940,erwachsen,adulte,0.0
1941,jerry,jerry,1.0
1942,pistole,pistolet,0.8
1943,saß,assis,0.3333333333333333
1944,dreht,tourne,0.25
1945,aussage,déclaration,0.0
1946,liebte,aimé,0.0
1947,street,rue,0.25
1948,genießen,prendre plaisir,0.1
1949,eifersüchtig,jaloux,0.0
1950,derjenige,celui,0.0
1951,teuer,chere,0.3333333333333333
1952,leo,leo,1.0
1953,zähne,les dents,0.14285714285714285
1954,beobachtet,observé,0.16666666666666666
1955,gentlemen,messieurs,0.0
1956,wählen,sélectionner,0.125
1957,helft,aider,0.0
1958,fliegt,mouches,0.0
1959,theater,théâtre,0.6666666666666666
1960,regen,pluie,0.0
1961,feinde,ennemis,0.25
1962,william,william,1.0
1963,erlauben,autoriser,0.0
1964,zulassen,autoriser,0.2
1965,schnappen,saisir,0.14285714285714285
1966,komplett,totalement,0.16666666666666666
1967,panik,panique,0.6666666666666666
1968,flughafen,aéroport,0.0
1969,bewusst,délibérément,0.2
1970,deutschen,allemand,0.0
1971,voraus,en avant,0.2
1972,sterbe,mourir,0.25
1973,solltet,devrait,0.2
1974,begleiten,accompagner,0.14285714285714285
1975,einander,l'un l'autre,0.25
1976,fred,fred,1.0
1977,erlebt,expérimenté,0.25
1978,weiterhin,plus loin,0.16666666666666666
1979,stärker,plus forte,0.14285714285714285
1980,fahrer,chauffeur,0.4
1981,konzentrieren,se concentrer,0.4444444444444444
1982,streiten,se disputer,0.2857142857142857
1983,angeht,préoccupations,0.1111111111111111
1984,selben,le même,0.0
1985,star,étoile,0.3333333333333333
1986,überzeugen,convaincre,0.0
1987,alkohol,de l'alcool,0.2857142857142857
1988,übersetzt,traduit,0.2857142857142857
1989,verrückte,fou,0.0
1990,lch,je,0.0
1991,king,roi,0.0
1992,begann,a débuté,0.0
1993,angenommen,assumé,0.16666666666666666
1994,weitermachen,continue,0.14285714285714285
1995,echter,réel,0.0
1996,jackson,jackson,1.0
1997,post,publier,0.25
1998,mitgenommen,enlevé,0.14285714285714285
1999,botschaft,message,0.14285714285714285
