,spanish,german,Distances
1766,oyes,hörst du,0.14285714285714285
1767,thomas,thomas,1.0
1768,periódico,zeitung,0.0
1769,mami,mama,1.0
1770,piensan,sie denken,0.3333333333333333
1771,washington,washington,1.0
1772,tv,fernseher,0.0
1773,cansada,müde,0.25
1774,limpiar,aufräumen,0.0
1775,crear,erschaffen,0.14285714285714285
1776,explicar,erklären,0.3333333333333333
1777,robado,gestohlen,0.0
1778,resolver,lösen,0.0
1779,maté,kamerad,0.25
1780,guapo,gutaussehend,0.14285714285714285
1781,continuar,fortsetzen,0.14285714285714285
1782,sheriff,sheriff,1.0
1783,funcionar,funktion,0.4
1784,extra,extra,1.0
1785,primo,cousin,0.0
1786,manejar,handhaben,0.16666666666666666
1787,primeros,erste,0.2
1788,acto,handlung,0.0
1789,poniendo,aufstellen,0.0
1790,números,zahlen,0.0
1791,kilómetros,kilometer,0.7142857142857143
1792,andy,andy,1.0
1793,llevará,tragen,0.0
1794,rachel,rachel,1.0
1795,niñas,mädchen,0.0
1796,premio,belohnen,0.0
1797,internet,internet,1.0
1798,harías,würdest du,0.25
1799,inútil,nicht zu gebrauchen,0.15384615384615385
1800,domingo,sonntag,0.4
1801,tomas,schüsse,0.16666666666666666
1802,sensación,sensation,0.6666666666666666
1803,alcohol,alkohol,0.75
1804,tercera,dritte,0.25
1805,agentes,agenten,0.75
1806,disculpas,entschuldigung,0.3
1807,antiguo,alt,0.3333333333333333
1808,guapa,schön,0.0
1809,asustado,besorgt,0.2
1810,puedan,kann,0.3333333333333333
1811,sexy,sexy,1.0
1812,genio,genius,0.6666666666666666
1813,recuperar,abrufen,0.0
1814,creemos,wir glauben,0.14285714285714285
1815,lengua,sprache,0.0
1816,ladrón,dieb,0.2
1817,intenté,ich habe es versucht,0.0
1818,examen,prüfung,0.16666666666666666
1819,deprisa,sich beeilen,0.0
1820,montaña,berg,0.0
1821,durmiendo,schlafen,0.0
1822,disparar,schießen,0.0
1823,entrenador,coach,0.0
1824,queso,käse,0.3333333333333333
1825,entero,ganz,0.0
1826,papeles,papiere,0.5
1827,pones,du legst,0.16666666666666666
1828,modelo,modell,0.75
1829,fútbol,fußball,0.4
1830,detener,haben,0.25
1831,lados,seiten,0.0
1832,miembros,mitglieder,0.16666666666666666
1833,sábado,samstag,0.2
1834,pongo,ich lege,0.2
1835,mataron,sie töteten,0.2857142857142857
1836,vuelvas,komm zurück,0.0
1837,talento,talent,1.0
1838,descubrir,entdecken,0.0
1839,gordo,fett,0.0
1840,tribunal,gericht,0.2
1841,toque,ich berührte,0.0
1842,wow,beeindruckend,0.0
1843,hables,sich unterhalten,0.18181818181818182
1844,conocemos,wir wissen,0.14285714285714285
1845,haberme,mich haben,0.14285714285714285
1846,dispuesto,bereit,0.2
1847,tamaño,größe,0.0
1848,dejen,lassen,0.25
1849,maravillosa,wunderbar,0.0
1850,invitado,gast,0.25
1851,importantes,wichtig,0.14285714285714285
1852,derechos,rechte,0.6
1853,scott,scott,1.0
1854,declaración,aussage,0.0
1855,claramente,deutlich,0.0
1856,pacientes,patienten,0.6
1857,pérdida,verlust,0.0
1858,in,in,1.0
1859,iban,wir gehen,0.16666666666666666
1860,pudiste,sie könnten,0.125
1861,profundo,tief,0.2
1862,gas,gas,1.0
1863,aeropuerto,flughafen,0.0
1864,consigue,erhalten,0.0
1865,olvidar,vergessen,0.0
1866,gloria,herrlichkeit,0.125
1867,olvides,vergessen,0.16666666666666666
1868,volviendo,zurückkommen,0.0
1869,coge,nehmen,0.0
1870,fué,es war,0.0
1871,llamaba,genannt,0.0
1872,pete,pete,1.0
1873,instituto,institut,1.0
1874,disparo,schießen,0.0
1875,encuentras,sie finden,0.0
1876,querían,gesucht,0.0
1877,hablemos,lass uns reden,0.1
1878,dia,tag,0.0
1879,enviado,senden,0.25
1880,pertenece,gehört,0.0
1881,sienta,hinsetzen,0.3333333333333333
1882,pensó,gedanke,0.0
1883,cadáver,leichnam,0.0
1884,gracia,anmut,0.0
1885,doctora,arzt,0.25
1886,escuchen,hören,0.2
1887,amante,liebhaber,0.0
1888,temporada,jahreszeit,0.0
1889,kim,kim,1.0
1890,cuerpos,körper,0.4
1891,amigas,freunde,0.0
1892,larry,larry,1.0
1893,preguntaba,ich habe gefragt,0.09090909090909091
1894,francés,französisch,0.4444444444444444
1895,mataste,du hast getötet,0.18181818181818182
1896,techo,die decke,0.2
1897,íbamos,wir sind gegangen,0.08333333333333333
1898,protección,schutz,0.14285714285714285
1899,médicos,ärzte,0.0
1900,lisa,glatt,0.25
1901,venganza,rache,0.0
1902,pensamos,wir glauben,0.0
1903,walter,walter,1.0
1904,contó,gezählt,0.0
1905,discutir,streiten,0.2
1906,comprendo,verstehe,0.0
1907,idiotas,idioten,0.6666666666666666
1908,enemigos,feinde,0.0
1909,camisa,t-shirt,0.16666666666666666
1910,superior,höher,0.25
1911,criminal,kriminell,0.6666666666666666
1912,preocupada,besorgt,0.0
1913,bote,boot,1.0
1914,escribió,schrieb,0.6
1915,llevamos,wir tragen,0.0
1916,testigos,zeugen,0.2
1917,recoger,aufsammeln,0.0
1918,emily,emily,1.0
1919,truco,trick,0.75
1920,jason,jason,1.0
1921,original,original,1.0
1922,pide,fragt,0.0
1923,jeff,jeff,1.0
1924,rosa,rose,1.0
1925,mama,mutter,0.25
1926,negros,schwarze,0.16666666666666666
1927,sobrevivir,überleben,0.3333333333333333
1928,rostro,gesicht,0.2
1929,crédito,anerkennung,0.14285714285714285
1930,compartir,teilen,0.0
1931,saca,rausziehen,0.2
1932,irás,du wirst gehen,0.1
1933,pequeñas,wenig,0.0
1934,veía,gesehen,0.0
1935,empezando,beginnend,0.3333333333333333
1936,registro,anmeldung,0.0
1937,continúa,mach weiter,0.14285714285714285
1938,grandioso,herrlich,0.16666666666666666
1939,viniste,bist du gekommen,0.09090909090909091
1940,esquina,ecke,0.0
1941,contado,gezählt,0.0
1942,cientos,hunderte,0.2
1943,tormenta,sturm,0.4
1944,relájate,entspann dich,0.0
1945,siéntese,hinsetzen,0.16666666666666666
1946,chocolate,schokolade,0.5
1947,matt,matt,1.0
1948,pedazo,stück,0.0
1949,tomo,ich nehme,0.16666666666666666
1950,olor,geruch,0.25
1951,ciencia,wissenschaft,0.2222222222222222
1952,kelly,kelly,1.0
1953,conexión,verbindung,0.14285714285714285
1954,vieron,gesehen,0.25
1955,salón,wohnzimmer,0.0
1956,sucio,schmutzig,0.2857142857142857
1957,firma,unterschrift,0.1111111111111111
1958,vimos,wir sahen,0.16666666666666666
1959,pidiendo,fragen,0.0
1960,casarse,heiraten,0.0
1961,bebida,getränk,0.0
1962,tercer,dritte,0.25
1963,propios,besitzen,0.0
1964,fuertes,mächtig,0.16666666666666666
1965,lluvia,regen,0.0
1966,recién,neu,0.25
1967,tomaré,ich werde nehmen,0.09090909090909091
1968,complicado,kompliziert,0.42857142857142855
1969,europa,europa,1.0
1970,toques,berührt,0.0
1971,cámaras,kameras,0.6
1972,visión,vision,0.75
1973,llego,angekommen,0.0
1974,americano,amerikanisch,0.42857142857142855
1975,diversión,spaß,0.16666666666666666
1976,pareció,es schien,0.16666666666666666
1977,libras,pfund,0.0
1978,curso,klasse,0.25
1979,disco,scheibe,0.25
1980,probable,wahrscheinlich,0.2
1981,precioso,schön,0.0
1982,tenia,hatte,0.3333333333333333
1983,lago,see,0.0
1984,leído,lesen,0.3333333333333333
1985,consiguió,habe,0.0
1986,parecido,ähnlich,0.16666666666666666
1987,material,material,1.0
1988,discurso,rede,0.2
1989,entera,ganz,0.0
1990,it,artikel,0.25
1991,corta,kurz,0.3333333333333333
1992,completa,komplett,0.6666666666666666
1993,decirles,erzähl es ihnen,0.18181818181818182
1994,lunes,montag,0.25
1995,efectivo,kasse,0.0
1996,cura,heilung,0.0
1997,antigua,alt,0.3333333333333333
1998,hablan,sie sprechen,0.125
1999,juntas,bretter,0.2
