,english,french,Distances
1926,yellow,jaune,0.0
1927,patients,les patients,0.625
1928,raised,soulevé,0.0
1929,changing,en changeant,0.625
1930,location,emplacement,0.42857142857142855
1931,jerk,secousse,0.0
1932,chocolate,chocolat,1.0
1933,image,image,1.0
1934,regular,habituel,0.0
1935,screwed,vissé,0.0
1936,hunt,chasse,0.25
1937,carrying,porter,0.16666666666666666
1938,taxi,taxi,1.0
1939,watched,regardé,0.0
1940,appear,apparaître,0.5
1941,knocking,cognement,0.16666666666666666
1942,piss,pisse,1.0
1943,committed,engagé,0.0
1944,disgusting,répugnant,0.14285714285714285
1945,clever,intelligent,0.14285714285714285
1946,wound,plaie,0.0
1947,arthur,arthur,1.0
1948,plate,assiette,0.25
1949,television,télévision,0.7142857142857143
1950,gods,dieux,0.3333333333333333
1951,lips,lèvres,0.4
1952,monday,lundi,0.5
1953,picking,cueillette,0.0
1954,freak,freak,1.0
1955,traffic,circulation,0.16666666666666666
1956,headed,à tête,0.0
1957,india,inde,1.0
1958,dawn,aube,0.0
1959,leo,leo,1.0
1960,poison,poison,1.0
1961,charges,des charges,0.625
1962,sat,assis,0.3333333333333333
1963,kicked,donné un coup de pied,0.14285714285714285
1964,scary,angoissant,0.16666666666666666
1965,mystery,mystère,0.6666666666666666
1966,indian,indien,1.0
1967,pure,pur,1.0
1968,bang,pan,0.3333333333333333
1969,disease,maladie,0.0
1970,italian,italien,1.0
1971,march,mars,0.5
1972,drove,a conduit,0.0
1973,laura,laura,1.0
1974,role,rôle,0.6666666666666666
1975,shots,coups,0.25
1976,butt,bout,0.6666666666666666
1977,victory,la victoire,0.5
1978,touched,touché,0.75
1979,dealing,transaction,0.14285714285714285
1980,trap,piège,0.0
1981,nation,nation,1.0
1982,healthy,en bonne santé,0.0
1983,babies,bébés,0.6
1984,shopping,achats,0.16666666666666666
1985,stood,se trouvait,0.3333333333333333
1986,desire,désir,0.75
1987,aside,de côté,0.0
1988,midnight,minuit,0.5
1989,physical,physique,0.6666666666666666
1990,jury,jury,1.0
1991,checking,vérification,0.14285714285714285
1992,appointment,rendez-vous,0.0
1993,songs,chansons,0.3333333333333333
1994,awake,éveillé,0.0
1995,carl,carl,1.0
1996,honour,honneur,0.75
1997,swim,baignade,0.0
1998,dies,meurt,0.0
1999,mail,courrier,0.0
