,french,german,Distances
1798,dimanche,sonntag,0.2
1799,agréable,angenehm,0.0
1800,plans,blaupausen,0.4
1801,conscience,bewusstsein,0.14285714285714285
1802,ennemis,feinde,0.25
1803,disant,sprichwort,0.125
1804,connaissance,wissen,0.42857142857142855
1805,douce,sanft,0.0
1806,belles,schön,0.0
1807,sentiment,gefühl,0.0
1808,bataille,schlacht,0.14285714285714285
1809,perd,verlieren,0.2
1810,pourrez,kann,0.0
1811,relations,beziehungen,0.16666666666666666
1812,espérais,gehofft,0.0
1813,fais-moi,mach mich,0.14285714285714285
1814,vôtre,dein,0.0
1815,servi,serviert,0.6
1816,souci,sorge,0.3333333333333333
1817,note,hinweis,0.25
1818,doigt,finger,0.25
1819,mensonge,lügnerisch,0.25
1820,volonté,wille,0.2
1821,walter,walter,1.0
1822,victoire,sieg,0.0
1823,direct,direkte,0.75
1824,abandonné,verlassen,0.0
1825,information,information,1.0
1826,joindre,beitreten,0.0
1827,proches,verwandtschaft,0.2727272727272727
1828,brian,brian,1.0
1829,droits,rechte,0.0
1830,eric,erich,0.6666666666666666
1831,nerveux,nervös,0.6
1832,coupé,schneiden,0.16666666666666666
1833,patients,patienten,0.8
1834,invités,gäste,0.0
1835,arrivés,angekommen,0.0
1836,descends,runterkommen,0.0
1837,pleure,schrei,0.25
1838,traitement,behandlung,0.14285714285714285
1839,jerry,jerry,1.0
1840,senti,fühlte,0.2
1841,cancer,krebs,0.0
1842,répète,sag nochmal,0.0
1843,reposer,ausruhen,0.0
1844,regrette,reue,0.2
1845,aide-moi,hilf mir,0.16666666666666666
1846,flingue,pistole,0.0
1847,cousin,cousin,1.0
1848,désormais,von jetzt an,0.0
1849,vérifié,geprüft,0.3333333333333333
1850,crains,furcht,0.2
1851,douche,dusche,0.75
1852,gaz,gas,0.5
1853,interdit,verboten,0.2
1854,théorie,theorie,0.75
1855,scott,scott,1.0
1856,trace,verfolgen,0.16666666666666666
1857,contrôler,kontrolle,0.5714285714285714
1858,signer,schild,0.2
1859,no,nein,0.5
1860,demandes,anfragen,0.0
1861,internet,internet,1.0
1862,andy,andy,1.0
1863,cherchez,suchen,0.3333333333333333
1864,salon,wohnzimmer,0.14285714285714285
1865,pete,furz,0.0
1866,appels,anrufe,0.0
1867,lancer,wurf,0.0
1868,protection,schutz,0.16666666666666666
1869,pantalon,hose,0.0
1870,rappelles,erinnern,0.16666666666666666
1871,dossiers,ordner,0.2
1872,style,stil,0.75
1873,ravie,erfreut,0.25
1874,semblant,so tun als ob,0.2222222222222222
1875,yeah,ja,0.0
1876,kim,kim,1.0
1877,offert,frei,0.5
1878,vieil,alt,0.0
1879,humaine,mensch,0.2
1880,grandi,aufgewachsen,0.14285714285714285
1881,médicaments,medikamente,0.625
1882,acte,tat,0.5
1883,moyens,meint,0.5
1884,lois,rechtsvorschriften,0.07142857142857142
1885,kate,kate,1.0
1886,meurs,sterben,0.2
1887,laisserai,wird verlassen,0.3
1888,aéroport,flughafen,0.0
1889,mauvaises,schlecht,0.0
1890,détective,detektiv,0.6666666666666666
1891,autrement,sonstiges,0.0
1892,témoins,zeugen,0.2
1893,queue,schwanz,0.0
1894,coincé,gesteckt,0.16666666666666666
1895,mariés,verheiratet,0.16666666666666666
1896,sonne,ringe,0.3333333333333333
1897,innocent,unschuldig,0.2857142857142857
1898,dira,werde sagen,0.14285714285714285
1899,créé,erstellt,0.0
1900,jason,jason,1.0
1901,supporter,unterstützung,0.1
1902,milliers,tausende,0.0
1903,heu,äh,0.5
1904,infirmière,krankenschwester,0.16666666666666666
1905,métier,arbeit,0.25
1906,crétin,blödmann,0.14285714285714285
1907,retirer,löschen,0.0
1908,surveillance,überwachung,0.25
1909,chances,chancen,0.8
1910,oreilles,ohren,0.0
1911,trouvera,wird finden,0.125
1912,suicide,selbstmord,0.25
1913,militaire,militär-,0.6666666666666666
1914,atteindre,erreichen,0.0
1915,fuir,weglaufen,0.2
1916,casse,gebrochen,0.16666666666666666
1917,dormi,habe geschlafen,0.0
1918,pilote,pilot,1.0
1919,rires,lachen,0.0
1920,appelée,genannt,0.0
1921,risques,risiken,0.5
1922,leçon,lektion,0.5
1923,paquet,pack,0.3333333333333333
1924,man,mann,0.6666666666666666
1925,défendre,verteidigen,0.0
1926,immeuble,gebäude,0.0
1927,récemment,in letzter zeit,0.1
1928,chinois,chinesisch,0.5714285714285714
1929,battu,geschlagen,0.0
1930,aveugle,blind,0.0
1931,oiseau,vogel,0.0
1932,propriétaire,eigentümer,0.14285714285714285
1933,ancienne,alt,0.0
1934,veste,jacke,0.0
1935,anna,anna,1.0
1936,simon,simon,1.0
1937,saviez,hast du gewusst,0.09090909090909091
1938,amies,freunde,0.0
1939,cherché,suchen,0.3333333333333333
1940,tirez,ziehen,0.0
1941,al,dort,0.0
1942,différents,anders,0.25
1943,gardez,behalten,0.0
1944,feras,wird besorgt,0.2222222222222222
1945,lisa,lisa,1.0
1946,lis,lilie,0.5
1947,station,bahnhof,0.0
1948,mandat,mandat,1.0
1949,assassin,attentäter,0.0
1950,thomas,thomas,1.0
1951,célèbre,berühmt,0.0
1952,dort,schlafen,0.0
1953,bague,ring,0.3333333333333333
1954,dépêche-toi,beeil dich,0.25
1955,tente,versucht,0.16666666666666666
1956,devenue,werden,0.25
1957,ventre,bauch,0.0
1958,carter,kurbelgehäuse,0.125
1959,respire,atmen,0.0
1960,haute,hoch,0.3333333333333333
1961,connaissais,wusste,0.3333333333333333
1962,genoux,knie,0.3333333333333333
1963,terme,begriff,0.2
1964,vert,grün,0.25
1965,emily,emily,1.0
1966,refusé,sich weigern,0.0
1967,hâte,sich beeilen,0.14285714285714285
1968,réveiller,aufwachen,0.0
1969,commande,bestellt,0.0
1970,commun,gemeinsames,0.3333333333333333
1971,souris,maus,0.3333333333333333
1972,partons,lass uns gehen,0.2
1973,perdue,verirrt,0.2
1974,dirige,gerichtet,0.16666666666666666
1975,verras,werden sehen,0.25
1976,charmant,charmant,1.0
1977,chante,gesungen,0.2
1978,sport,sport,1.0
1979,celle-ci,dieses hier,0.0
1980,viré,gefeuert,0.25
1981,ies,ja,0.0
1982,fiston,sohn,0.5
1983,étoiles,sterne,0.25
1984,laisses,leinen,0.25
1985,parlant,apropos,0.4
1986,là-dessus,darauf,0.14285714285714285
1987,signé,schild,0.2
1988,virer,feuer,0.3333333333333333
1989,permettre,ermöglichen,0.125
1990,pouvoirs,kräfte,0.0
1991,luke,lukas,0.6666666666666666
1992,pluie,regen,0.0
1993,passez,passieren,0.6
1994,vrais,stimmt,0.0
1995,enlevé,entfernt,0.16666666666666666
1996,moments,momente,0.8
1997,blesser,schmerz,0.16666666666666666
1998,ombre,schatten,0.0
1999,rome,rom,1.0
